,Title_TMDb,ID,IMDb ID,Release Date,TMDb Score,TMDb Vote Count,Revenue,Budget,Genres,Genres ID,Production Companies,Release Year,Release Month,Genre_1,Genre_2,Genre_3,Genre_4,Genre_5,Genre_6
28,Deadpool,293660,tt1431045,2016-02-09,7.6,24781,783100000,58000000,"['Action', 'Adventure', 'Comedy']","[28, 12, 35]","['20th Century Fox', 'Marvel Entertainment', 'Kinberg Genre', ""The Donners' Company"", 'TSG Entertainment']",2016,2,Action,Adventure,Comedy,,,
29,Suicide Squad,297761,tt1386697,2016-08-03,5.9,17278,746846894,175000000,"['Action', 'Adventure', 'Crime', 'Fantasy', 'Science Fiction']","[28, 12, 80, 14, 878]","['DC Entertainment', 'Dune Entertainment', 'Warner Bros. Pictures', 'Atlas Entertainment', 'DC Comics', 'DC Films', 'Lin Pictures']",2016,8,Action,Adventure,Crime,Fantasy,Science Fiction,
30,Moana,277834,tt3521164,2016-11-23,7.6,9428,690860472,150000000,"['Adventure', 'Comedy', 'Family', 'Animation']","[12, 35, 10751, 16]","['Walt Disney Pictures', 'Walt Disney Animation Studios', 'Hurwitz Creative']",2016,11,Adventure,Comedy,Family,Animation,,
31,Doctor Strange,284052,tt1211837,2016-10-25,7.4,16826,677700000,165000000,"['Action', 'Adventure', 'Fantasy', 'Science Fiction']","[28, 12, 14, 878]",['Marvel Studios'],2016,10,Action,Adventure,Fantasy,Science Fiction,,
32,Sing,335797,tt3470600,2016-11-23,7.1,5980,634151679,75000000,"['Family', 'Animation', 'Music', 'Comedy', 'Drama']","[10751, 16, 10402, 35, 18]","['Illumination Entertainment', 'Universal Pictures', 'Fuji Television Network', 'DENTSU']",2016,11,Family,Animation,Music,Comedy,Drama,
33,The Mermaid,381890,tt4701660,2016-02-08,6.2,197,553810228,60720000,"['Comedy', 'Fantasy', 'Romance']","[35, 14, 10749]","['China Film Group', 'Edko Films Ltd.']",2016,2,Comedy,Fantasy,Romance,,,
34,X-Men: Apocalypse,246655,tt3385516,2016-05-18,6.5,10408,543934787,178000000,"['Action', 'Adventure', 'Science Fiction', 'Fantasy']","[28, 12, 878, 14]","[""The Donners' Company"", 'Marvel Entertainment', 'Bad Hat Harry Productions', 'TSG Entertainment', '20th Century Fox', 'Genre Films']",2016,5,Action,Adventure,Science Fiction,Fantasy,,
35,Kung Fu Panda 3,140300,tt2267968,2016-01-23,6.8,4138,521170825,145000000,"['Action', 'Adventure', 'Animation', 'Comedy', 'Family']","[28, 12, 16, 35, 10751]","['Pearl Studio', 'China Film Co.', 'DreamWorks Animation']",2016,1,Action,Adventure,Animation,Comedy,Family,
36,La La Land,313369,tt3783958,2016-11-29,7.9,13192,446486224,30000000,"['Comedy', 'Drama', 'Romance', 'Music']","[35, 18, 10749, 10402]","['Summit Entertainment', 'Black Label Media', 'Gilbert Films', 'Impostor Pictures', 'Marc Platt Productions', 'Lionsgate']",2016,11,Comedy,Drama,Romance,Music,,
37,Warcraft,68735,tt0803096,2016-05-25,6.3,5231,433677183,160000000,"['Action', 'Adventure', 'Fantasy']","[28, 12, 14]","['Legendary Pictures', 'Universal Pictures', 'Atlas Entertainment', 'Blizzard Entertainment', 'Tencent Pictures']",2016,5,Action,Adventure,Fantasy,,,
38,Jason Bourne,324668,tt4196776,2016-07-27,6.3,4476,415484914,120000000,"['Action', 'Thriller']","[28, 53]","['The Kennedy/Marshall Company', 'Captivate Entertainment', 'Pearl Street Films', 'Double Negative', 'Perfect World Pictures']",2016,7,Action,Thriller,,,,
39,Ice Age: Collision Course,278154,tt3416828,2016-06-23,6.0,3370,408579038,105000000,"['Adventure', 'Animation', 'Family', 'Comedy', 'Science Fiction']","[12, 16, 10751, 35, 878]","['Blue Sky Studios', '20th Century Fox Animation', '20th Century Fox']",2016,6,Adventure,Animation,Family,Comedy,Science Fiction,
40,Star Wars: The Last Jedi,181808,tt2527336,2017-12-13,6.9,11851,1332539889,200000000,"['Science Fiction', 'Action', 'Adventure']","[878, 28, 12]",['Lucasfilm Ltd.'],2017,12,Science Fiction,Action,Adventure,,,
41,Beauty and the Beast,321612,tt2771200,2017-03-16,7.0,13369,1263521126,160000000,"['Family', 'Fantasy', 'Romance']","[10751, 14, 10749]","['Walt Disney Pictures', 'Mandeville Films']",2017,3,Family,Fantasy,Romance,,,
42,The Fate of the Furious,337339,tt4630562,2017-04-12,6.9,8168,1238764765,250000000,"['Action', 'Crime', 'Thriller']","[28, 80, 53]","['Universal Pictures', 'Original Film', 'Fuji Eight Company Ltd.', 'China Film Co.', 'DENTSU', 'One Race']",2017,4,Action,Crime,Thriller,,,
43,Despicable Me 3,324852,tt3469046,2017-06-15,6.4,5472,1031552585,80000000,"['Action', 'Animation', 'Comedy', 'Family', 'Adventure']","[28, 16, 35, 10751, 12]","['Universal Pictures', 'Illumination Entertainment']",2017,6,Action,Animation,Comedy,Family,Adventure,
44,Jumanji: Welcome to the Jungle,353486,tt2283362,2017-12-09,6.8,10599,962102237,90000000,"['Action', 'Adventure', 'Comedy', 'Fantasy']","[28, 12, 35, 14]","['Radar Pictures', 'Matt Tolmach Productions', 'Seven Bucks Productions', 'Columbia Pictures', 'Sony Pictures']",2017,12,Action,Adventure,Comedy,Fantasy,,
45,Spider-Man: Homecoming,315635,tt2250912,2017-07-05,7.4,16044,880166924,175000000,"['Action', 'Adventure', 'Science Fiction', 'Drama']","[28, 12, 878, 18]","['Marvel Studios', 'Columbia Pictures', 'Pascal Pictures', 'LStar Capital', 'Sony Pictures']",2017,7,Action,Adventure,Science Fiction,Drama,,
46,Wolf Warrior 2,452557,tt7131870,2017-07-27,6.6,158,870322670,29700000,"['War', 'Action', 'Drama']","[10752, 28, 18]","['Spring Era Film Company', 'Beijing Dongfang International Cultural Communications Company', 'Beijing Century Media Culture', 'Chao Feng Pictures', 'Orange Image']",2017,7,War,Action,Drama,,,
47,Guardians of the Galaxy Vol. 2,283995,tt3896198,2017-04-19,7.6,16465,863756051,200000000,"['Adventure', 'Action', 'Science Fiction', 'Comedy']","[12, 28, 878, 35]",['Marvel Studios'],2017,4,Adventure,Action,Science Fiction,Comedy,,
48,Thor: Ragnarok,284053,tt3501632,2017-10-25,7.6,15770,853977126,180000000,"['Action', 'Adventure', 'Comedy', 'Fantasy', 'Science Fiction']","[28, 12, 35, 14, 878]","['Marvel Studios', 'Walt Disney Pictures']",2017,10,Action,Adventure,Comedy,Fantasy,Science Fiction,
49,Wonder Woman,297762,tt0451279,2017-05-30,7.3,16387,821847012,149000000,"['Action', 'Adventure', 'Fantasy']","[28, 12, 14]","['Warner Bros. Pictures', 'Atlas Entertainment', 'Cruel & Unusual Films', 'DC Entertainment', 'Dune Entertainment', 'Tencent Pictures', 'Wanda Pictures', 'DC Comics', 'DC Films']",2017,5,Action,Adventure,Fantasy,,,
50,Coco,354912,tt2380307,2017-10-27,8.2,13787,800526015,175000000,"['Family', 'Animation', 'Fantasy', 'Music', 'Comedy', 'Adventure']","[10751, 16, 14, 10402, 35, 12]","['Pixar', 'Walt Disney Pictures']",2017,10,Family,Animation,Fantasy,Music,Comedy,Adventure
51,Pirates of the Caribbean: Dead Men Tell No Tales,166426,tt1790809,2017-05-23,6.6,9166,794861794,230000000,"['Adventure', 'Action', 'Fantasy']","[12, 28, 14]","['Walt Disney Pictures', 'Jerry Bruckheimer Films', 'Infinitum Nihil']",2017,5,Adventure,Action,Fantasy,,,
52,It,346364,tt1396484,2017-09-06,7.2,15090,701796444,35000000,['Horror'],[27],"['RatPac-Dune Entertainment', 'New Line Cinema', 'Vertigo Entertainment', 'Lin Pictures', 'KatzSmith Productions', 'Warner Bros. Pictures']",2017,9,Horror,,,,,
53,Justice League,141052,tt0974015,2017-11-15,6.2,10467,657924295,300000000,"['Action', 'Adventure', 'Fantasy', 'Science Fiction']","[28, 12, 14, 878]","['DC Comics', 'DC Entertainment', 'RatPac-Dune Entertainment', 'Cruel & Unusual Films', 'Atlas Entertainment', 'Lensbern Productions', 'Dune Entertainment', 'Warner Bros. Pictures', 'DC Films', 'The Canadian Film or Video Production Tax Credit (CPTC)']",2017,11,Action,Adventure,Fantasy,Science Fiction,,
54,Logan,263115,tt3315342,2017-02-28,7.8,15591,619021436,97000000,"['Action', 'Drama', 'Science Fiction']","[28, 18, 878]","['20th Century Fox', 'Marvel Entertainment', 'TSG Entertainment', 'Kinberg Genre', 'Hutch Parker Entertainment', ""The Donners' Company""]",2017,2,Action,Drama,Science Fiction,,,
55,Transformers: The Last Knight,335988,tt3371366,2017-06-16,6.0,4418,605425157,217000000,"['Action', 'Adventure', 'Science Fiction', 'Fantasy']","[28, 12, 878, 14]","['Hasbro Studios', 'Paramount', 'Di Bonaventura Pictures', 'Ian Bryce Productions', 'Huahua Media', 'Tom DeSanto & Don Murphy Production', 'Hasbro']",2017,6,Action,Adventure,Science Fiction,Fantasy,,
56,Kong: Skull Island,293167,tt3731562,2017-03-08,6.5,8139,566652812,185000000,"['Action', 'Adventure', 'Fantasy']","[28, 12, 14]","['Legendary Pictures', 'Warner Bros. Pictures']",2017,3,Action,Adventure,Fantasy,,,
57,Dunkirk,374720,tt5013056,2017-07-19,7.5,12755,525573161,100000000,"['War', 'Action', 'Drama']","[10752, 28, 18]","['Warner Bros. Pictures', 'Syncopy']",2017,7,War,Action,Drama,,,
58,The Boss Baby,295693,tt3874544,2017-03-23,6.5,5730,498814908,125000000,"['Animation', 'Comedy', 'Family']","[16, 35, 10751]","['DreamWorks Animation', 'CJ Entertainment']",2017,3,Animation,Comedy,Family,,,
59,War for the Planet of the Apes,281338,tt3450958,2017-07-11,7.1,6702,488533726,150000000,"['Drama', 'Science Fiction', 'War']","[18, 878, 10752]","['20th Century Fox', 'TSG Entertainment', 'Chernin Entertainment']",2017,7,Drama,Science Fiction,War,,,
60,Avengers: Infinity War,299536,tt4154756,2018-04-25,8.3,21626,2046239637,300000000,"['Adventure', 'Action', 'Science Fiction']","[12, 28, 878]",['Marvel Studios'],2018,4,Adventure,Action,Science Fiction,,,
61,Black Panther,284054,tt1825683,2018-02-13,7.4,17224,1346739107,200000000,"['Action', 'Adventure', 'Science Fiction']","[28, 12, 878]","['Marvel Studios', 'Walt Disney Pictures']",2018,2,Action,Adventure,Science Fiction,,,
62,Jurassic World: Fallen Kingdom,351286,tt4881806,2018-06-06,6.6,8818,1303459585,170000000,"['Action', 'Adventure', 'Science Fiction']","[28, 12, 878]","['Amblin Entertainment', 'Legendary Pictures', 'Universal Pictures', 'Perfect World Pictures']",2018,6,Action,Adventure,Science Fiction,,,
63,Incredibles 2,260513,tt3606756,2018-06-14,7.5,9856,1242805359,200000000,"['Action', 'Adventure', 'Animation', 'Family']","[28, 12, 16, 10751]","['Walt Disney Pictures', 'Pixar']",2018,6,Action,Adventure,Animation,Family,,
64,Aquaman,297802,tt1477834,2018-12-07,6.9,10374,1148461807,160000000,"['Action', 'Adventure', 'Fantasy']","[28, 12, 14]","['DC Comics', 'DC Entertainment', 'Warner Bros. Pictures', 'The Safran Company', 'Rodeo FX', 'Panoramic Pictures', 'DC Films', 'Cruel & Unusual Films']",2018,12,Action,Adventure,Fantasy,,,
65,Bohemian Rhapsody,424694,tt1727824,2018-10-24,8.0,13150,894027543,52000000,"['Music', 'Drama', 'History']","[10402, 18, 36]","['GK Films', 'Regency Enterprises', 'Queen Films', 'Tribeca Productions', 'New Regency Pictures', '20th Century Fox']",2018,10,Music,Drama,History,,,
66,Venom,335983,tt1270797,2018-09-28,6.8,10655,855013954,116000000,"['Science Fiction', 'Action']","[878, 28]","['Avi Arad Productions', 'Matt Tolmach Productions', 'Pascal Pictures', 'Marvel Entertainment', 'Tencent Pictures']",2018,9,Science Fiction,Action,,,,
67,Mission: Impossible - Fallout,353081,tt4912910,2018-07-13,7.4,5862,791017452,178000000,"['Action', 'Adventure']","[28, 12]","['Paramount', 'Bad Robot', 'Skydance Media', 'TC Productions', 'Alibaba Pictures Group']",2018,7,Action,Adventure,,,,
68,Deadpool 2,383498,tt5463162,2018-05-10,7.5,13137,786365638,110000000,"['Action', 'Comedy', 'Adventure']","[28, 35, 12]","['Marvel Entertainment', '20th Century Fox', 'Kinberg Genre', 'Maximum Effort', 'TSG Entertainment']",2018,5,Action,Comedy,Adventure,,,
69,Fantastic Beasts: The Crimes of Grindelwald,338952,tt4123430,2018-11-14,6.9,8053,653355901,200000000,"['Adventure', 'Fantasy', 'Drama']","[12, 14, 18]","['Warner Bros. Pictures', 'Heyday Films']",2018,11,Adventure,Fantasy,Drama,,,
70,Ant-Man and the Wasp,363088,tt5095030,2018-07-04,7.0,9721,622674139,140000000,"['Action', 'Adventure', 'Science Fiction']","[28, 12, 878]",['Marvel Studios'],2018,7,Action,Adventure,Science Fiction,,,
71,Ready Player One,333339,tt1677720,2018-03-28,7.6,11279,582890172,175000000,"['Science Fiction', 'Adventure', 'Action']","[878, 12, 28]","['Amblin Entertainment', 'De Line Pictures', 'Warner Bros. Pictures', 'Dune Entertainment', 'Farah Films & Management', 'Reliance Entertainment', 'Village Roadshow Pictures']",2018,3,Science Fiction,Adventure,Action,,,
72,Operation Red Sea,460555,tt6878882,2018-02-16,6.7,120,579220560,70000000,"['Action', 'Thriller', 'War', 'Drama']","[28, 53, 10752, 18]","['Bona Film Group', 'The P.L.A Navy Government TV Art Central of China', 'Star Dream Studio Media', 'Emperor Film Production', 'Film Fireworks Production', 'ZAK Film Productions']",2018,2,Action,Thriller,War,Drama,,
73,The Meg,345940,tt4779682,2018-08-09,6.2,5098,530243742,150000000,"['Action', 'Science Fiction', 'Horror']","[28, 878, 27]","['Apelles Entertainment', 'Gravity Pictures', 'Di Bonaventura Pictures', 'Flagship Entertainment Group', 'Maeday Productions', 'Warner Bros. Pictures']",2018,8,Action,Science Fiction,Horror,,,
74,Ralph Breaks the Internet,404368,tt5848272,2018-11-20,7.2,5490,529221154,175000000,"['Family', 'Animation', 'Comedy', 'Adventure']","[10751, 16, 35, 12]","['Walt Disney Pictures', 'Walt Disney Animation Studios']",2018,11,Family,Animation,Comedy,Adventure,,
75,The Grinch,360920,tt2709692,2018-11-08,6.8,2545,508575295,75000000,"['Animation', 'Family', 'Comedy', 'Fantasy']","[16, 10751, 35, 14]","['Universal Pictures', 'Illumination Entertainment', 'Perfect World Pictures']",2018,11,Animation,Family,Comedy,Fantasy,,
76,Bumblebee,424783,tt4701182,2018-12-15,6.7,4345,467989645,135000000,"['Action', 'Adventure', 'Science Fiction']","[28, 12, 878]","['Hasbro', 'Paramount', 'Allspark Pictures', 'Bay Films', 'Di Bonaventura Pictures', 'Tencent Pictures', 'Tom DeSanto/Don Murphy Production']",2018,12,Action,Adventure,Science Fiction,,,
77,A Star Is Born,332562,tt1517451,2018-10-03,7.5,9333,433888866,36000000,"['Drama', 'Romance', 'Music']","[18, 10749, 10402]","['Thunder Road', '22 & Green', 'Gerber Pictures', 'Joint Effort', 'Malpaso Productions', 'Warner Bros. Pictures', 'Live Nation Productions']",2018,10,Drama,Romance,Music,,,
78,Rampage,427641,tt2231461,2018-04-12,6.5,5231,426245950,120000000,['Action'],[28],"['Wrigley Pictures', 'New Line Cinema', '7 Bucks Entertainment', 'ASAP Entertainment', 'Flynn Picture Company', 'Twisted Media']",2018,4,Action,,,,,
79,Avengers: Endgame,299534,tt4154796,2019-04-24,8.3,17955,2797800564,356000000,"['Adventure', 'Science Fiction', 'Action']","[12, 878, 28]",['Marvel Studios'],2019,4,Adventure,Science Fiction,Action,,,
80,The Lion King,420818,tt6105098,2019-07-12,7.2,7625,1656943394,260000000,"['Adventure', 'Family', 'Animation']","[12, 10751, 16]","['Walt Disney Pictures', 'Fairview Entertainment']",2019,7,Adventure,Family,Animation,,,
81,Frozen II,330457,tt4520988,2019-11-20,7.3,7282,1450026933,150000000,"['Family', 'Animation', 'Adventure', 'Comedy', 'Fantasy', 'Music']","[10751, 16, 12, 35, 14, 10402]","['Walt Disney Pictures', 'Walt Disney Animation Studios']",2019,11,Family,Animation,Adventure,Comedy,Fantasy,Music
82,Spider-Man: Far from Home,429617,tt6320628,2019-06-28,7.5,9695,1131927996,160000000,"['Action', 'Adventure', 'Science Fiction']","[28, 12, 878]","['Marvel Studios', 'Columbia Pictures', 'Pascal Pictures', 'Sony Pictures', 'Stereo D']",2019,6,Action,Adventure,Science Fiction,,,
83,Captain Marvel,299537,tt4154664,2019-03-06,7.0,11259,1128276090,152000000,"['Action', 'Adventure', 'Science Fiction']","[28, 12, 878]",['Marvel Studios'],2019,3,Action,Adventure,Science Fiction,,,
84,Joker,475557,tt7286456,2019-10-02,8.2,17398,1074251311,55000000,"['Crime', 'Thriller', 'Drama']","[80, 53, 18]","['Warner Bros. Pictures', 'Joint Effort', 'Village Roadshow Pictures', 'Bron Studios', 'Creative Wealth Media Finance', 'DC Entertainment', 'DC Films', 'DC Comics']",2019,10,Crime,Thriller,Drama,,,
85,Star Wars: The Rise of Skywalker,181812,tt2527338,2019-12-18,6.5,6637,1074144248,250000000,"['Action', 'Adventure', 'Science Fiction']","[28, 12, 878]","['Lucasfilm Ltd.', 'Bad Robot']",2019,12,Action,Adventure,Science Fiction,,,
86,Toy Story 4,301528,tt1979376,2019-06-19,7.6,6921,1073394593,175000000,"['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy', 'Drama']","[12, 16, 35, 10751, 14, 18]","['Walt Disney Pictures', 'Pixar']",2019,6,Adventure,Animation,Comedy,Family,Fantasy,Drama
87,Aladdin,420817,tt6139732,2019-05-22,7.1,7716,1047612394,183000000,"['Adventure', 'Fantasy', 'Romance', 'Family']","[12, 14, 10749, 10751]","['Walt Disney Pictures', 'Lin Pictures', 'Rideback', 'Marc Platt Productions']",2019,5,Adventure,Fantasy,Romance,Family,,
88,Jumanji: The Next Level,512200,tt7975244,2019-12-04,7.0,5728,796575993,125000000,"['Adventure', 'Comedy', 'Fantasy']","[12, 35, 14]","['Columbia Pictures', 'Seven Bucks Productions', 'Matt Tolmach Productions', 'The Detective Agency']",2019,12,Adventure,Comedy,Fantasy,,,
89,Fast & Furious Presents: Hobbs & Shaw,384018,tt6806448,2019-08-01,6.9,4833,760098996,200000000,"['Action', 'Adventure', 'Comedy']","[28, 12, 35]","['Chris Morgan Productions', 'Seven Bucks Productions', 'Universal Pictures']",2019,8,Action,Adventure,Comedy,,,
90,Ne Zha,615453,tt10627720,2019-07-26,8.0,190,686067000,0,"['Animation', 'Fantasy', 'Adventure']","[16, 14, 12]","['Beijing Enlight Pictures', 'Horgos Coloroom Pictures']",2019,7,Animation,Fantasy,Adventure,,,
91,How to Train Your Dragon: The Hidden World,166428,tt2386490,2019-01-03,7.8,4495,517526875,129000000,"['Animation', 'Family', 'Adventure']","[16, 10751, 12]","['DreamWorks Animation', 'Mad Hatter Entertainment', 'DENTSU', 'Fuji Television Network', 'Universal Animation Studios', 'Vertigo Entertainment']",2019,1,Animation,Family,Adventure,,,
92,Alha Sahma,747121,,2019-04-12,10.0,1,500000000,0,[],[],[],2019,4,,,,,,
93,Maleficent: Mistress of Evil,420809,tt4777008,2019-10-16,7.4,4338,491570967,185000000,"['Family', 'Fantasy', 'Adventure']","[10751, 14, 12]","['Walt Disney Pictures', 'Roth Films']",2019,10,Family,Fantasy,Adventure,,,
94,It Chapter Two,474350,tt7349950,2019-09-04,6.9,5874,473093228,79000000,"['Horror', 'Fantasy']","[27, 14]","['Lin Pictures', 'New Line Cinema', 'Vertigo Entertainment', 'KatzSmith Productions', 'Double Dream']",2019,9,Horror,Fantasy,,,,
